isin;structure;actualite;action
FR0010188383;Amundi Oblig Emergents est un fonds d’obligations souveraines (en grande majorité) des pays émergentes en devises dures, c'est-à-dire en USD, EUR, GBP ou YEN. Le portefeuille global est couvert contre le risque de change. Ce segment du marché des obligations émergentes est plus liquide que son équivalent en devises locales, ce que nous privilégions. Les taux de rendement offert par ce type d’obligations (5%) nous parait intéressant surtout comparé au risque que doit prendre l’investisseur pour obtenir un rendement comparable en Europe ou aux Etats-Unis.;Près de la moitié du portefeuille est positionné sur des notations BBB et 20% est en catégorie spéculative. La notation moyenne (BB+) nous semble correcte. Le gérant ne veut pas dégrader la qualité de notation car il ne voit pas d’opportunité sur les pays qui offrent les sur rendements (spread de crédit) les plus élevés. Le gérant est globalement défensif. Pour lui tout le segment obligataire est cher mais en relatif les obligations émergentes sont attractives.;
FR0010032573;AMUNDI OBLIG INTERNATIONALES est un fonds d’obligations internationales avec une approche « Global Macro obligataire ». Le gérant investit sur les différents véhicules obligataires en fonction des tendances de l’économie mondiale. La gestion peut intervenir sur des obligations d’Etat comme sur des obligations d’entreprises. Structurellement, le fonds aura une sensibilité aux taux d’intérêt relativement élevée. Nous privilégions une sensibilité basse mais ce fonds est un des seuls fonds du portefeuille à avoir une forte sensibilité. Cela ne pose donc pas de problème au niveau global et apporte de la diversification au portefeuille. Ce fonds gère activement les devises mais du fait de son indice de référence (1/3 Euro, 1/3 USD, 1/3 Yen), il aura un risque de change non négligeable notamment sur l’USD.;"Le fonds est actuellement positionné pour profiter d'un aplatissement de courbe à savoir une augmentation des taux plus forte sur la partie courte que sur la partie longue. Au sein des emprunts d'État et des obligations d'entreprises, le portefeuille est toujours positionné en vue d'une reprise durable de l'économie américaine (hausse des taux). En Europe, la sensibilité est toujours faible sur les emprunts core (versus périphérie) même si la sous exposition a été réduite sur l’Allemagne. Sur le crédit le gérant fait son retour sur les US, globalement il préfère les financières. Le fonds est maintenant positif sur les obligations émergentes en devise forte et en devise locale dont les valorisations restent attrayantes. Côté devises, le fonds est surexposé au dollar américain et à certaines devises émergentes notamment versus euro et yen.

";
LU0557861274;AMUNDI-BD GL AGGREGATE-AEC est un fonds d’obligations internationales avec une approche « Global Macro obligataire ». Le gérant investit sur les différents véhicules obligataires en fonction des tendances de l’économie mondiale. La gestion peut intervenir sur des obligations d’Etat comme sur des obligations d’entreprises. Structurellement, le fonds aura une sensibilité aux taux d’intérêt relativement élevée. Nous privilégions une sensibilité basse mais ce fonds est un des seuls fonds du portefeuille à avoir une forte sensibilité. Cela ne pose donc pas de problème au niveau global et apporte de la diversification au portefeuille. Même si le fonds a une gestion active des devises, ce fonds a un indice de référence couvert contre le risque de change. Il aura donc une exposition devises relativement faible pour un fonds d’obligations internationales.;Le fonds est actuellement positionné pour profiter d'un applatissement de courbe à savoir une augmentation des taux plus forte sur la partie courte que sur la partie longue. Au cours du mois, l'exposition High Yield a été augmenté. ;
LU0068578508;First Eagle Amundi International est un fonds investissant sur la thématique value c’est-à-dire sur des titres sous valorisés par rapport à leur valeur théorique. Ainsi afin de  s’assurer de ne pas acheter des actions à un prix trop élevé, la gestion fixe des prix d’achats comprenant une décote de 30% par rapport à la juste valeur d’entreprise calculée en interne. La valeur ajoutée du gérant réside dans sa capacité à appréhender correctement la valorisation réelle des titres (sans artifice comptable). Il investit de préférence dans des entreprises dont l’activité est rare, durable et qui ne se détruise pas, grâce à un savoir-faire particulier Le gérant investit tant sur les actions que sur les obligations même si le fonds est principalement actions. La diversification géographique se fait essentiellement sur les pays développés (Etats-Unis, Europe, Japon). Le portefeuille est très diversifié avec plus de 100 positions. ;Avec la baisse des marchés la partie cash+ obligations court terme  du fonds est passée de 20% à 14%. Malgré tout le positionnement reste prudent. Géographiquement, le portefeuille est balancé entre actions US (36%) et actions non US (36%).  Une diversification intéressante se fait sur les titres liés à l’or (13%). Globalement ces 3 thématiques ont chacune été augmentée de 2%.  Le style reste résolument « value ». La part obligataire est très réduite et se résume à des obligations d'Etat très court terme.;CONSERVER
FR0000172041;"Fonds immobilier positionné sur la zone euro via des foncières cotées.
Portefeuille concentré sur 30 à 40 lignes dont les 2/3 sont sur l’Allemagne et la France. Les biens résidentiels sont privilégiés, suivis des bureaux et des commerces.";La gestion reste positive sur le secteur de l'immobilier coté dont les rendements sont fortement corrélés à la croissance économique. Même si cette dernière ralentit, en particulier en Europe, elle progresse encore. Par ailleurs, les sociétés immobilières cotées en bourse maintiennent des bilans sains, associées à un très faible endettement, tout en offrant un rendement de dividende attrayant de 4%. Néanmoins, la gestion reste très sélective sur ses choix d’investissements. Elle continue de privilégier les sociétés capables de maintenir ou d'accroître leur rentabilité par une gestion active de leur parc immobilier en s’adaptant aux changements de comportement des consommateurs.;CONSERVER
LU1157401644;AXA WF Global Flexible Property est un fonds flexible international entre obligations et actions de sociétés foncières côtées. Le fonds investit principalement sur les pays développés avec un tropisme fort sur les US (50% de l’univers d’investissement). Au-delà d’une allocation stratégique 55% actions/45% obligations, le fonds peut moduler tactiquement l’allocation en fonction du cycle de l’immobilier. Son exposition aux actions peut aller de 30 à 70%. Le risque de change est couvert.;Le gérant estime que la remontée de taux ne sera pas négative pour les foncières car il n’y a pas raréfaction du crédit. La baisse récente est donc une opportunité d’investissement.  ;
FR0011689363;AXIOM Equity est un fonds géré par des spécialistes des banques et se concentre sur les actions bancaires. Ce fonds est atypique car en règle générale les gérants classiques n’aiment pas les banques et ont du mal à les valoriser. Il est donc intéressant de se tourner vers des spécialistes pour gérer cette thématique.; Le fonds investit actuellement sur les banques ayant connu des difficultés mais sous valorisées par le marché. Le gérant évite donc les très bons élèves et les cancres dans le secteur bancaire. Il estime que les stress tests qui seront publiés en octobre/novembre 2014 devraient créer des opportunités qu’il entend saisir. Les banques sont de mieux en mieux capitalisées et retournent à la profitabilité. Les niveaux de valorisation sont encore bas selon les moyennes historiques et le gérant estime qu’une hausse de 50 à 00% sur un horizon de 3 à 5 ans est raisonnable.;
FR0010755199;AXIOM Obligataire est un fonds obligataire très spécifique. Il investit dans des obligations bancaires mais pas n’importe lesquelles : les obligations subordonnées bancaires. Ces titres sont plus risqués que les obligations classiques car ils viennent après les obligations de premier rang en cas de liquidation d’une société. De plus, sous certaines conditions ces obligations peuvent arrêter de payer des coupons. Il faut voir ces titres comme  un produit hybride entre actions et obligations même si elles diffèrent tout de même des obligations convertibles.  Cette typologie obligataire bénéficie de deux facteurs favorables : la normalisation des rendements offerts sur ces obligations (i.e. baisse des spread) et le contexte réglementaire (Bale 3) qui oblige les banques à abaisser leur profil de risque et à se recapitaliser si besoin.;"Le rendement actuariel est désormais supérieur à 8%. Le gérant estime qu’il reste de la performance à aller chercher et que la pression réglementaire évitera des baisses trop prononcées. Le portefeuille est principalement investi en Tier 1 mais les titres ""Bale 3"" représentent désormais plus de 30% du portefeuille. La sensibilité aux taux est relativement réduite, proche de 2.";
IE0004868604;;;
FR0010651224;BDL Convictions est un fonds d’actions européennes équilibré tant en termes de taille de capitalisations (avec un léger biais moyennes capitalisations tout de même) que de style (structurellement ni croissance, ni value). Le fonds correspond à la partie « longue » (strictement acheteuse) du fonds « long/short » BDL Rempart Europe. Le gérant n’hésite pas à garder une part de cash importante (15% en moyenne) s’il ne trouve pas de dossier intéressant à investir. ;"2018 est la première mauvaise année depuis 13 ans sur BDL Convictions. Selon le gérant, il y a des opportunités. La poche longue, selon les métriques utilisées par BDL,  n’a jamais été aussi bon marché depuis 2008 !
En synthèse, voici les convictions : 
-	Toujours investis sur les Télécoms : les prix augmentent, les investissements baissent, la digitalisation amène beaucoup d’économies dans  ce secteur. Les marges vont augmenter.  Par ailleurs le marché devrait se consolider. 
-	Services aux collectivités : des profits ont été pris après la très bonne année 2018. Les niveaux de valorisation sont désormais élevés. 
-	L’investissement sur les banques est maintenu. Elles ont été de risquées et les valorisations sont attractives.   
-	Une partie des liquidités issues de la cession des utilities a été reportée sur les infrastructures (Vinci, Eiffage). ";ACHETER
FR0010174144;BDL Rempart Europe est un fonds long/short actions européennes. Il peut donc prendre des positions acheteuses comme vendeuses (à découvert). L’exposition nette (achats – ventes à découvert) est variable ce que nous apprécions. Elle est allée de 0 à 60% historiquement même si le rythme de croisière est plutôt entre 20 et 40%. Le positionnement global (exposition au marché et exposition sectorielle) n’est que la résultante des convictions de stock picking. Cette sélection de valeurs dépend du modèle économique des sociétés et de leur valorisation. La société fonde sa performance sur la qualité de son analyse des dossiers (15 personnes dans l’équipe de gestion). Trois secteurs sont prohibés pour leur complexité et leur dépendance aux facteurs externes (cours des matières premières, réglementation...) : la santé, les assurances et l’énergie. Des frais de gestion variables existent et sont pris au dessus d'Eonia ce qui nous semble inadapté. ;"2018 a été une année décevante sur le fonds phare de la société à savoir BDL Rempart Europe. 2018 est la première mauvaise année depuis 13 ans sur la partie longue. Rappelons que la partie longue de BDL Rempart Europe correspond à BDL Convictions. A l’inverse, la partie short a créé de l’alpha, surtout sur septembre, octobre et novembre. L’exposition nette au marché est maintenant proche des plus hauts vers 50%. Selon le gérant, il y a des opportunités. La poche longue, selon les métriques utilisées par BDL,  n’a jamais été aussi bon marché depuis 2008 !
En synthèse, voici les convictions : 
-	Toujours investis sur les Télécoms : les prix augmentent, les investissements baissent, la digitalisation amène beaucoup d’économies dans  ce secteur. Les marges vont augmenter.  Par ailleurs le marché devrait se consolider. 
-	Services aux collectivités : des profits ont été pris après la très bonne année 2018. Les niveaux de valorisation sont désormais élevés. 
-	L’investissement sur les banques est maintenu. Elles ont été de risquées et les valorisations sont attractives.   
-	Une partie des liquidités issues de la cession des utilities a été reportée sur les infrastructures (Vinci, Eiffage). 
-	Coté « short », les secteurs avec les valorisations les plus élevées restent au centre de la stratégie. Exemple : les medtechs dont le cours de bourse a fortement monté (malgré la baise de fin d’année) alors que les bénéfices peinent à croitre ou encore le luxe qui semble très cher. ";ACHETER
LU0573587697;BSF European Credit Strategies est un fonds de gestion alternative sur l’obligataire. Ce fonds permet d’avoir une exposition aux spread de credit, c'est-à-dire à la prime de risque offerte par les émetteurs pour investir sur leurs obligations plutôt que sur les emprunts d’Etat. Cependant cette exposition ne se fait pas dans une optique strictement acheteuse dans laquelle le gérant essaierait de sélectionner les meilleurs titres. Sur  BSF European Credit Strategies, le gérant est acheteur et vendeur simultanément (stratégie long/short) de différents titres obligataires. Les 3 stratégies principales sont la valeur relative (investissement d’un titre contre un autre), la valeur absolue (investissement sur un titre spécifique) et les situations spéciales (investissement visant à tirer profit des opérations comme les fusions acquisitions). L’objectif de ce fonds est d’obtenir une performance de 3 à 6% pour une volatilité très réduite.;;
LU0562822386;Thème récurrent des actions dividendes. Rien de spécial. Ne tient pas la comparaison face à M&G Global Dividends;;
LU0154234636;BGF European Special Situations Fund est un fonds actions européennes (y compris Royaume-Uni). La gestion sélectionne entre 50 et 80 sociétés en situation spéciale c’est-à-dire, dont le potentiel de croissance n’est pas encore perçu par le marché. Le fonds peut investir sur tout type de capitalisation dont la moitié sur de petites ou moyennes tailles.;A fin mai, les petites et moyennes capitalisations représentent un tiers du portefeuille. Au niveau géographique, la composition du fonds est proche de celle de son indice, le MSCI Europe, à +/- 5%. Le Royaume-Uni, l’Allemagne et la France présentent à eux 3 près de 60% de l’actif. En revanche, il y a de grosses différences sur l’allocation sectorielle. La gestion privilégie les secteurs de l’Industrie et des Technologies qu’elle surpondère de 10% chacune. En revanche, elle sous-pondère les financières de 8% et restent à l’écart de l’énergie. Le fonds a tendance à bien résister dans les phases de marchés baissiers. YTD, la performance du fonds ressort à +1.18 (à fin juin) contre -0.48% pour l’indice. Les positions au sein des secteurs financiers, industriels et technologiques ont été plus performantes que celles de l’indice.;conserver
LU0072462186;BGF-EUROPEAN VALUE FUND-A2 est un fonds de la société Blackrock focalisé sur des actions européennes (Europe et non zone Euro) grandes capitalisations de type « value » c’est-à-dire sur des titres de sociétés censés être décotés par rapport à leur valeur fondamentale. Ce fonds a une approche anglo-saxonne : sans être indiciel, le gérant prend des paris par rapport à son indice de référence (MSCI Europe Value). C’est un fonds pur « value ». Nous privilégions cette approche dans le contexte actuel : les actions de type « value » (exemple : Lafarge, France Télécom…) semblent en retard par rapport à leurs consœurs « croissance » (ex : LVMH, L’Oréal, Facebook…). A noter une pondération proche de 30% sur le Royaume Uni et donc un risque de change en livre sterling.;La position sur le Royaume Uni a été baissé à 36%. La principale sur pondération sectorielle reste sur le secteur cyclique. L'industrie et les biens de consommation cycliques sont particulièrement représentées, ce que nous privilégions dans un environnement de reprise en Europe. ;
LU0171289571;Fonds actions d’Amérique latine c’est-à-dire, le Mexique, l’Amérique centrale, l’Amérique du Sud et les îles des Caraïbes, y compris Porto Rico. Pour cela, le gérant investit essentiellement sur des Large voire Mega Caps, sans biais particulier entre des valeurs « value » ou « croissance ». ;A fin avril, les 10 premières valeurs représentent une concentration assez forte (> 50%). La structure du portefeuille est proche de celle de l’indice en termes de taille de capitalisation et de secteurs. En revanche, au niveau géographique, le gérant surpondère le Brésil (67.4% vs 58.5%) et est présent en Argentine (3.6% vs 0%). Néanmoins, il est absent de Colombie (vs 3.8% pour l’indice) et reste prudent sur le Chili (1.6% vs 9.9%).;
LU1056594234;"Le fonds BNP L1 muti asset income est un fonds de fonds diversifié multi classe d’actifs. 
Les fonds sous jacents sont des fonds internes ce que nous ne privilégions pas. 
Il est peu réactif et correspond à un profil de risque équilibré.
En terme de diversification géographique, toutes les zones géographiques sont desservies et le risque de change est pratiquement nul (couverture ente 95 et 99%).
L’objectif du fonds est la distribution d’un revenu (dividende) récurrent annuel de 4%.";"Le fonds est constitué d’à peu près 30% d’obligations et comporte également 15% de valeurs immobilières.
Même si les niveaux de valorisation sont élevées aux Etat-Unis, le gérant garde une quote part sur cette zone pour des raisons de diversification et d’indice. Le gérant est peu investi sur les emergents et n’investit seulement qu’en Asie car l’Amérique latine et la Russie souffrent de la chute du pétrole.";
FR0010128587;BNP Paribas Small Caps Euroland est un fonds de petites et moyennes capitalisations sur l’Europe avec un biais croissance même si le fonds peut s’adapter à un environnement value. La taille des sociétés en portefeuille se situe enre 3 et 5 milliards de capitalisation. Le fonds se concentre sur 50 à 70 valeurs. Plus la taille de capitalisation est faible plus la plus-value attendue est forte. L’allocation géographique se fait uniquement sur la zone Euro. Le délais de détention est entre 3 et 5 ans. La gestion a donc une vision moyen-long terme. Autre particularité, le gérant sort de son spectre les sociétés trop endettées. ;Actuellement le fonds est positionné sur des cycliques dont une forte sur pondération sur la consommation discrétionnaire et les matières premières. A l'inverse l'énergie et les services publics sont sous pondérés. ;
LU0212178916;Le commercial vend la performance passée... qui est effectivement très bonne. Il bat Oddo Avenir. Point négatif : la structure (BNP).  De plus, le fonds a plus de 50% d'exposition au risque de change dont 40% sur le GBP.;;
LU0823410724;Parvest Equity USA Small Cap est un fonds de petites et moyennes capitalisations américaines. Le fonds est très diversifié avec une centaine de positions, chacune ne pouvant dépasser 3%. Le gérant ne cherche pas à battre l’indice en se différenciant sur les secteurs puisque la composition sectorielle du fonds est relativement proche de celle de l’indice. La valeur ajoutée est sur la sélection de titres à l’intérieur de chaque secteur. Le fonds a un biais croissance caractéristique des petites et moyennes capitalisations. ;"Le gérant trouve que les craintes de récession sont exagérées, la macro-économie est bonne aux US. Il attend une hausse des résultats à 2 chiffres sur les entreprises en portefeuille. On ne reviendra pas forcement sur les plus hauts mais l’année devrait être bonne. De plus, les valorisations sont attractives, les petites capitalisations se traitent en dessous de leur valorisation historique en absolu et en relatif par rapport aux grandes capitalisations. Le fonds est toujours très proche de son indice en termes de répartition sectorielle. La technologie est le secteur le plus sur représenté 18%, la santé 17% et les financières  17,5%.

-- ";ALLEGER
